,DrugBankIDLabel,UniProtIDLabel,Interaction,Predicted interaction
104,6393,4184,1,0.5710541688842714
105,6393,3471,1,0.5482767445138627
106,6393,292,1,0.5136662006454584
107,6393,302,1,0.5291115729943229
108,6393,4679,1,0.526521323847817
109,6393,309,1,0.5272669367550591
110,6393,1800,1,0.5840384902546123
111,6393,2580,1,0.5469549139568423
112,6393,2068,1,0.5119303386911579
113,2286,1130,1,0.47239131551129343
114,2286,842,1,0.45441327887172844
115,2014,205,1,0.45980126378658204
116,2014,1341,1,0.4983466864101056
117,6897,1121,1,0.5079482591089826
118,6897,1694,1,0.5056165526243993
119,6936,1872,1,0.4879019823857275
120,6936,3757,1,0.5044006028991544
121,6936,1518,1,0.48731454702276344
122,4190,4097,1,0.7480184358613162
123,4190,3294,1,0.5373523639744199
124,4190,2608,1,0.578185145728608
125,4190,890,1,0.5116542902549923
126,4190,1492,1,0.5113006011952163
127,4190,2407,1,0.48167538247889724
128,3202,983,1,0.4228077885990834
129,7321,550,1,0.5381474985135362
130,7321,157,1,0.48247366303497924
131,7321,1793,1,0.5313203243068451
132,7321,3096,1,0.4811341018179514
133,7321,220,1,0.5492421787744427
134,7321,307,1,0.528199846039471
135,3151,1829,1,0.4657050015006587
136,3151,1315,1,0.4814435802838401
137,3151,1390,1,0.4636688174254767
138,1829,3574,1,0.43067917136021305
139,1829,2730,1,0.4659398587187073
140,1829,2002,1,0.4424790152327181
141,2759,911,1,0.46928360736799263
142,2759,778,1,0.46866747973592104
143,2759,3522,1,0.44573292859017266
144,4797,748,1,0.46135319909863454
145,4797,2424,1,0.44978382844480097
146,6853,1130,1,0.48143417881200273
147,1312,4475,1,0.46227616569697644
148,6146,2042,1,0.5440406808538991
149,6146,1456,1,0.5167136985333299
150,7240,2042,1,0.5566544893781209
151,7240,1456,1,0.5234590542479929
152,1838,1861,1,0.46320049140922515
153,1838,3550,1,0.46818098787681633
154,1838,567,1,0.4509411490896102
155,1838,3320,1,0.484978542642183
156,6423,1130,1,0.49269994409910145
157,6423,3110,1,0.5272446753266983
158,2195,970,1,0.5722643582800822
159,188,768,1,0.48576784596374817
160,188,2105,1,0.46067624903626225
161,406,3238,1,0.5163225126915221
162,406,795,1,0.49849629012589697
163,406,4524,1,0.5690712324767625
164,406,3282,1,0.6377526478426512
165,406,2351,1,0.5876959637182262
166,406,2486,1,0.6071385387387922
167,406,2211,1,0.6020618073215354
168,406,2449,1,0.6082658294587375
169,406,2192,1,0.5733460324565005
170,406,431,1,0.6029610075550348
171,406,113,1,0.5724070620895935
172,406,1276,1,0.6342698602450129
173,406,265,1,0.56770351796644
174,406,258,1,0.5595175723368949
175,6147,4192,1,0.5214658228994705
176,6147,1417,1,0.5638543088764032
177,6147,1298,1,0.8738156670845854
178,6147,3471,1,0.5312573599406277
179,6147,2608,1,0.5899508783040134
180,6147,4437,1,0.5209751859518129
181,6147,1289,1,0.4800863633554855
182,6147,1961,1,0.5714637425556437
183,6147,3856,1,0.46178366502375723
184,6147,57,1,0.5206879278520092
185,6147,3858,1,0.5229905871795794
186,6147,361,1,0.5033958278337456
187,7004,4294,1,0.49394818808105534
188,7004,431,1,0.5445315287038714
189,7004,4524,1,0.5373929689969477
190,7004,2192,1,0.5377219987359063
191,7004,3282,1,0.5803051141407707
192,7004,2351,1,0.5445713697910439
193,7004,2486,1,0.5707577799413618
194,7004,2211,1,0.5577354179967631
195,7004,2449,1,0.5609675445580034
196,7004,113,1,0.5334973949540684
197,7004,1276,1,0.5745290865955732
198,7004,265,1,0.5283987817945586
199,373,2210,1,0.47813815723642417
200,3256,1694,1,0.4956511341990864
201,3256,1121,1,0.5142969526503519
202,2660,1038,1,0.44795549041135563
203,5205,3238,1,0.46985152802727076
204,895,970,1,0.5015925414077217
205,2739,842,1,0.4637668239222459
206,1749,1872,1,0.4563773654945391
207,1749,3757,1,0.47256722332582346
208,1749,1518,1,0.4628160203442544
209,2290,1121,1,0.5190272741188817
210,2290,1694,1,0.5212683218335956
211,6827,1121,1,0.5406574410115763
212,6827,1694,1,0.5301940213058186
213,4473,1006,1,0.46165394218343747
214,5342,2042,1,0.5982838837650267
215,5342,1456,1,0.5436157489482847
216,5342,4253,1,0.482659548953005
217,5342,2310,1,0.46720426471414866
218,5342,2383,1,0.4760441103142674
219,5342,2178,1,0.4842548708180071
220,5342,2099,1,0.5324570234714057
221,5342,4648,1,0.496450228326222
222,5342,739,1,0.4515340623914328
223,5342,1664,1,0.515106751685674
224,5342,4020,1,0.4893336915475147
225,5342,584,1,0.47830085938938005
226,5342,2426,1,0.4810596888826474
227,5342,255,1,0.5281429716517064
228,337,3922,1,0.5362534392642964
229,337,3560,1,0.6451213621877665
230,337,3282,1,0.6187206531411763
231,337,2351,1,0.5652718823807363
232,337,2486,1,0.6019978901138681
233,337,2211,1,0.5852457017618755
234,337,2192,1,0.5562885165326529
235,337,431,1,0.5821597704850873
236,337,113,1,0.548642660472348
237,337,1276,1,0.5951218235327554
238,337,265,1,0.5580223847087074
239,337,4524,1,0.553999114557295
240,337,2449,1,0.5858420616164898
241,3265,25,1,0.4630732231013474
242,6884,2730,1,0.5338146855642565
243,6884,3574,1,0.47506992199387615
244,6884,431,1,0.5989757673592794
245,6884,2449,1,0.6012371544575559
246,6884,113,1,0.5737780940650481
247,6884,1276,1,0.6245260869910437
248,6884,265,1,0.5736663764411325
249,6884,4524,1,0.5736226822728683
250,6884,2192,1,0.5703363822395802
251,6884,3282,1,0.6453405047657841
252,6884,2351,1,0.5883737154449574
253,6884,2486,1,0.6113946196273043
254,6884,2211,1,0.6172947150584855
255,1530,4241,1,0.47692931133642114
256,1530,4682,1,0.4868650447017505
257,1530,3861,1,0.48151331988564694
258,1530,1143,1,0.48163967801783086
259,1530,4524,1,0.5401128744193022
260,1530,3282,1,0.5971926905122773
261,1530,2351,1,0.5517023842580309
262,1530,2486,1,0.5790256755552249
263,1530,2211,1,0.5672811023153456
264,1530,2449,1,0.5733044854883832
265,1530,2192,1,0.541556268513951
266,1530,431,1,0.5614654783838363
267,1530,113,1,0.5340776565512364
268,1530,1276,1,0.5778439363329463
269,1530,265,1,0.5453851148710995
270,6751,25,1,0.4925482133446617
271,6751,4524,1,0.5203007151023658
272,6751,3282,1,0.5797640490592226
273,6751,2351,1,0.5465551039769188
274,6751,2486,1,0.5519920529488936
275,6751,2211,1,0.5420214665033645
276,6751,2449,1,0.5457802582623316
277,6751,2192,1,0.5238302791199251
278,6751,431,1,0.5518462420693152
279,6751,113,1,0.521636473337541
280,6751,1276,1,0.5699461439284965
281,6751,265,1,0.5206026659532145
282,1913,25,1,0.5053310945458325
283,1913,4524,1,0.5465005318219244
284,1913,3282,1,0.6219116726986619
285,1913,2351,1,0.574251431245848
286,1913,2486,1,0.5835992654228989
287,1913,2211,1,0.5807378886163748
288,1913,2449,1,0.5748679058246147
289,1913,431,1,0.585692885099661
290,1913,113,1,0.5452989828107673
291,1913,1276,1,0.5937557743610633
292,1913,265,1,0.5529324661194767
293,6113,768,1,0.46510211861046136
294,3723,99,1,0.4631970670628071
295,3723,2726,1,0.45594336519016154
296,7338,257,1,0.5219436705607843
297,7338,2791,1,0.4836650467509503
298,4691,1134,1,0.48946235344125655
299,4691,4524,1,0.5162730483486861
300,4691,3282,1,0.5724465694427732
301,4691,2351,1,0.5249009224936259
302,4691,2486,1,0.5538894218245215
303,4691,2211,1,0.5370855698081544
304,4691,2449,1,0.5353391915275998
305,4691,431,1,0.5427441818792955
306,4691,113,1,0.5142358103990998
307,4691,1276,1,0.546197562048182
308,4691,265,1,0.5137043381282814
309,4373,1833,1,0.44768191496492704
310,7287,2731,1,0.4326374616466882
311,7287,404,1,0.4389328440905018
312,7287,3531,1,0.4492036752351272
313,7287,3227,1,0.45904650931262236
314,2771,3464,1,0.49645833650276544
315,2771,3282,1,0.5978785028018152
316,2771,2351,1,0.5538777039886286
317,2771,2486,1,0.5856793146238397
318,2771,2211,1,0.566998547197663
319,2771,2449,1,0.5817737922554871
320,2771,431,1,0.5619442999019173
321,2771,113,1,0.53722088416516
322,2771,1276,1,0.5849135790333009
323,2771,265,1,0.5421166342076245
324,2771,4524,1,0.549579525675681
325,4390,3757,1,0.4802826341030072
326,4193,842,1,0.468216474167117
327,2449,2018,1,0.5382300980534187
328,2449,431,1,0.6247312862281675
329,2449,4524,1,0.5829790206886767
330,2449,3282,1,0.6644632727080617
331,2449,2351,1,0.5990760776504614
332,2449,2486,1,0.6384248462058064
333,2449,2211,1,0.6239608008716087
334,2449,2449,1,0.6330181738469889
335,2449,113,1,0.5853500786508692
336,2449,1276,1,0.6425721132600417
337,2449,265,1,0.5782025823304858
338,2735,1130,1,0.4787917897374354
339,2735,842,1,0.45660144853709694
340,534,42,1,0.4659854548140713
341,534,4286,1,0.4571359179772572
342,534,2018,1,0.49721100486749226
343,534,3222,1,0.49447311083480083
344,534,1276,1,0.5934236605446064
345,534,988,1,0.5013525403452778
346,534,3435,1,0.49152338790169026
347,534,4545,1,0.4971719501442947
348,534,3238,1,0.5031195203735754
349,2553,2210,1,0.4801619581977901
350,2553,2382,1,0.4611308546646939
351,5421,4097,1,0.7350018947116455
352,5421,3002,1,0.5791628741671675
353,5421,3294,1,0.5460928073041442
354,5421,4192,1,0.5256219701176128
355,5421,1298,1,0.8286394065938356
356,5421,2068,1,0.4819695898093203
357,5421,2608,1,0.5675184940569005
358,2426,1857,1,0.4849831404252821
359,2426,39,1,0.4817028452118178
360,2426,2681,1,0.47562171055932934
361,3452,332,1,0.4526091541846353
362,3452,3291,1,0.4875757331286911
363,3452,686,1,0.49222090710045885
364,1807,1121,1,0.4901429351494924
365,1807,1694,1,0.47912878519756535
366,2720,3110,1,0.4911082027205118
367,2183,2095,1,0.4596206241614964
368,2183,1209,1,0.4577108032054458
369,5427,2106,1,0.5208780422691219
370,5427,431,1,0.5665669190087697
371,5427,4524,1,0.5437924994748506
372,5427,1855,1,0.48822632651296927
373,5427,3282,1,0.605272701090028
374,5427,2351,1,0.5488136858992588
375,5427,2486,1,0.5717055078422756
376,5427,2211,1,0.5731340072189931
377,5427,2449,1,0.5633732736078549
378,5427,113,1,0.5356254701653187
379,5427,1276,1,0.5692802710377716
380,5427,265,1,0.5409666876173671
381,751,3396,1,0.46373347965445766
382,842,1618,1,0.45540599866014014
383,842,431,1,0.5832319743472618
384,842,4524,1,0.5657393693983656
385,842,3282,1,0.6295281863752457
386,842,2351,1,0.571981612425851
387,842,2486,1,0.5938144223073838
388,842,2211,1,0.5905120581880692
389,842,2449,1,0.5945025329626779
390,842,113,1,0.558128383517703
391,842,1276,1,0.6025057409314777
392,842,265,1,0.5653397048556049
393,4299,2730,1,0.5069076096501726
394,4299,3574,1,0.47333545129917
395,4299,4524,1,0.5620109119502956
396,4299,3282,1,0.6253336970353681
397,4299,2351,1,0.575041031312447
398,4299,2486,1,0.598707392078498
399,4299,2211,1,0.5825250482340433
400,4299,2449,1,0.5931119673038612
401,4299,431,1,0.5862637771622858
402,4299,113,1,0.555680645092015
403,4299,1276,1,0.601424251094316
404,4299,265,1,0.5588662290146065
405,2166,298,1,0.6320994858560524
406,2166,4524,1,0.557203414867653
407,2166,3282,1,0.6277652421175011
408,2166,2351,1,0.5794951876472902
409,2166,2486,1,0.5976959177680586
410,2166,2211,1,0.5907136703052487
411,2166,2449,1,0.5934731103711465
412,2166,431,1,0.5941849389632115
413,2166,113,1,0.5523116854626267
414,2166,1276,1,0.6032333113600634
415,2166,265,1,0.5620768401549934
416,615,241,1,0.48303858742999695
417,3989,1770,1,0.5989564248736614
418,3989,2302,1,0.6052878194979858
419,3989,7,1,0.6824373783352173
420,3989,2505,1,0.6322051875100225
421,3989,62,1,0.73468653149914
422,3989,1634,1,0.6573566080491444
423,3989,3863,1,0.6980179004939542
424,3989,4199,1,0.6130428785343006
425,3989,695,1,0.7118246086396027
426,3989,3410,1,0.6230185125725618
427,3989,2453,1,0.7587373218489339
428,3989,2721,1,0.6326109564787354
429,3989,752,1,0.639996907973745
430,3989,1261,1,0.6744894305963919
431,3989,4640,1,0.6573998919489286
432,3989,1389,1,0.6853268273941376
433,3989,4585,1,0.7908430875329875
434,3989,2191,1,0.6841290785413534
435,3989,3003,1,0.5795277563717595
436,3989,951,1,0.5776188324062779
437,3989,1195,1,0.6221212699979827
438,3989,1608,1,0.619407640638726
439,3989,185,1,0.6166022818481465
440,3989,1921,1,0.5646332366566243
441,3989,3252,1,0.6636990893806891
442,3989,2183,1,0.6498346337990333
443,3989,4731,1,0.6140075876134365
444,3989,2389,1,0.6718552387636851
445,3989,215,1,0.579595121465355
446,3989,1101,1,0.6610481134400545
447,3989,1551,1,0.6900923977585647
448,3989,543,1,0.6039189991600868
449,3989,2214,1,0.6352816073064096
450,3989,433,1,0.6407287743138952
451,3989,3834,1,0.7155026017901178
452,3989,3123,1,0.6818559924453653
453,3989,2882,1,0.6254556777615187
454,3989,203,1,1.0
455,3989,1977,1,0.7030732266741535
456,3989,3359,1,0.5854214573146657
457,3989,1444,1,0.5353174282151654
458,3989,1363,1,0.5841555820555966
459,3989,706,1,0.54990346245779
460,3989,4696,1,0.6541724251551313
461,3989,3575,1,0.5425354346077317
462,3989,4420,1,0.601072087842641
463,3989,4117,1,0.6226941185772367
464,3989,588,1,0.6078785029115272
465,3989,4743,1,0.6329286674294028
466,3989,2781,1,0.6080231441154142
467,3989,3218,1,0.63748338038094
468,3989,2069,1,0.6066991600722117
469,3989,2014,1,0.5936145618557915
470,3989,900,1,0.6604517252174948
471,3989,1523,1,0.6183469709725923
472,3989,2588,1,0.6745850326927927
473,3989,3715,1,0.6634824115631092
474,3989,1270,1,0.6068621371676248
475,3989,4282,1,0.5568264359720512
476,3989,1494,1,0.6679109556925832
477,3989,2352,1,0.609784284332226
478,3989,1603,1,0.666438436366892
479,3989,1365,1,0.6200848675447016
480,3989,639,1,0.6184307016873561
481,3989,4419,1,0.5870219653899198
482,3989,1088,1,0.6357460743209848
483,2114,4234,1,0.4955537895236194
484,2114,1803,1,0.452982309891538
485,2114,3173,1,0.47517958548278905
486,2114,3370,1,0.48269345165083155
487,2114,2414,1,0.4366075687308784
488,2114,3732,1,0.4674824309597029
489,2674,4378,1,0.5252736108736049
490,2674,2662,1,0.49310995146542014
491,2674,1523,1,0.5019555476153623
492,2674,62,1,0.54403070227103
493,2674,3766,1,0.5353130654001069
494,2674,4234,1,0.5541328345994273
495,2674,3834,1,0.5403434943663737
496,2674,492,1,0.4676209449503982
497,2674,3791,1,0.5179001983756626
498,2674,1444,1,0.4552016712680124
499,2674,3732,1,0.513847892133891
500,2674,2441,1,0.4969836815104813
501,1553,951,1,0.46138499669439054
502,1553,3036,1,0.48209461658236685
503,1553,1302,1,0.47481165755079396
504,1553,2686,1,0.459543936035465
505,4785,4030,1,0.49004698128672214
506,4785,1713,1,0.4842195199861921
507,4785,7,1,0.5041489563733169
508,4785,840,1,0.46376990276408636
509,4785,3109,1,0.5013628123158442
510,4785,809,1,0.5376259573043066
511,4785,4642,1,0.4659078132852369
512,4785,2627,1,0.45427853877773294
513,4790,2863,1,0.5539202181030102
514,4790,3053,1,0.5750822531609031
515,4790,4392,1,0.5327868786936811
516,4790,1770,1,0.5122785332989235
517,4790,1633,1,0.46629842535437954
518,4790,2763,1,0.5096746690188007
519,4790,2074,1,0.5226459054893535
520,4790,2453,1,0.6036071311274281
521,4790,4023,1,0.49552559396679685
522,4790,3480,1,0.5363289618511218
